,Patch dimnesion,Maximum Batch Size,Batch Error,Total Patches,Patch list creation time,Upsampling time,CPU to GPU,GPU to CPU,Batch creation,CUDA clear time,Merging time,Total batch processing time,Total time
,0
0,50.0
1,9.0
2,1.0
3,9.0
4,9.417533874511719e-05
5,0.00751042366027832
6,0.0005238056182861328
7,0.15338778495788574
8,9.059906005859375e-06
9,0.020991802215576172
10,0.0009005069732666016
11,0.19332003593444824
12,0.1939067840576172
,0
0,49.0
1,9.0
2,1.0
3,9.0
4,0.00010228157043457031
5,0.012660503387451172
6,0.0005323886871337891
7,0.15665817260742188
8,9.5367431640625e-06
9,0.020735740661621094
10,0.0007636547088623047
11,0.20301413536071777
12,0.2036147117614746
